具体位置,房价
[六环以外]门头沟s1号线地铁桥户营站a口旁,"
价格待定
"
[六环以外]门头沟永定镇石龙西路与三石路交叉口向西200米南侧,"
740万元/套起
"
[六环以外]门头沟泰安路13号,"
335万元/套起
"
[六环以外]门头沟长安街西延线南约300米,"
600万元/套起
"
[六环以外]门头沟美安路与龙兴南二路交叉点向北500米路西,"
62000元/m^2
"
"[六环以外]门头沟西长安新城,长安街西延线南侧约500米","
64000元/m^2
"
[六环以外]门头沟阜石路双峪环岛北永定楼西北200米,"
59000元/m^2
"
[六环以外]门头沟永定镇长安街西延线南约500米,"
60000元/m^2起
"
[六环以外]门头沟石龙北路62号邮政储蓄南100米西长安壹号接待中心,"
40000元/m^2起
"
"[六环以外]门头沟长安街西沿线,地铁s1线上岸站","
350万元/套起
"
[六环以外]门头沟永定镇冯西园,"
110000元/m^2
"
[六环以外]门头沟西山・永定楼北300米,"
53000元/m^2
"
[六环以外]门头沟地铁s1号线桥户营站旁350米,"
价格待定
"
"[六环以外]门头沟长安街西沿线,距莲石路1.5公里,距阜石路1.8公里","
840万元/套起
"
[六环以外]门头沟阜石路双峪路口西800米路南,"
1200万元/套起
"
[六环以外]门头沟莲花池西路西延线潭柘寺隧道出口北侧,"
50000元/m^2
"
[六环以外]门头沟永定镇地铁s1号线石厂站西南700米,"
699万元/套起
"
"[六环以外]门头沟龙泉镇新桥大街西侧,区政府正对面","
65000元/m^2
"
[六环以外]门头沟门头沟路11号院,"
38000元/m^2
"
[六环以外]门头沟永定镇石门营环岛北侧,"
60000元/m^2起
"
